wavelength,offset,offset_Tcorr
398.5,-0.10638000,-0.10648300
402.3,-0.10556000,-0.10566300
405.9,-0.10015000,-0.10022210
409.4,-0.09397500,-0.09400590
413.0,-0.09161500,-0.09165620
416.6,-0.08655000,-0.08658090
420.6,-0.08165500,-0.08166530
424.7,-0.07946500,-0.07945470
428.8,-0.07620500,-0.07620500
432.9,-0.07306000,-0.07304970
437.0,-0.06975000,-0.06971910
440.7,-0.06768000,-0.06765940
445.5,-0.06557000,-0.06555970
449.7,-0.06331500,-0.06329440
454.5,-0.06156000,-0.06152910
458.5,-0.06012000,-0.06010970
462.7,-0.05849000,-0.05847970
467.1,-0.05742000,-0.05740970
471.5,-0.05528000,-0.05528000
476.6,-0.05400000,-0.05398970
481.1,-0.05377000,-0.05377000
485.5,-0.05242000,-0.05243030
489.7,-0.05131000,-0.05131000
494.1,-0.05049000,-0.05050030
498.2,-0.05018000,-0.05021090
502.4,-0.04906000,-0.04909090
507.3,-0.04862000,-0.04867150
511.6,-0.04791000,-0.04797180
516.5,-0.04759500,-0.04765680
521.0,-0.04753000,-0.04759180
525.3,-0.04732500,-0.04737650
529.2,-0.04684000,-0.04687090
533.5,-0.04668000,-0.04671090
537.7,-0.04670000,-0.04672060
541.8,-0.04646500,-0.04648560
546.1,-0.04605000,-0.04607060
550.5,-0.04559000,-0.04561060
554.8,-0.04555000,-0.04556030
559.3,-0.04560000,-0.04560000
563.3,-0.04526000,-0.04526000
567.1,-0.04469000,-0.04469000
571.2,-0.04441000,-0.04444090
575.4,-0.04384000,-0.04393270
577.8,-0.04373000,-0.04387420
581.5,-0.04336000,-0.04361750
585.2,-0.04287500,-0.04324580
588.8,-0.04152000,-0.04203500
592.8,-0.04060000,-0.04130040
596.9,-0.04070000,-0.04159610
600.9,-0.04068000,-0.04171000
605.5,-0.04138000,-0.04243060
609.7,-0.04220000,-0.04315790
613.7,-0.04229000,-0.04310370
618.0,-0.04231000,-0.04296920
622.5,-0.04268000,-0.04315380
626.5,-0.04246000,-0.04277930
630.5,-0.04259000,-0.04277540
634.5,-0.04260000,-0.04268240
639.2,-0.04251000,-0.04249970
643.3,-0.04236000,-0.04231880
647.6,-0.04181000,-0.04178940
651.9,-0.04122000,-0.04126120
656.2,-0.04111000,-0.04122330
660.3,-0.04119000,-0.04134450
664.6,-0.04123000,-0.04137420
669.1,-0.04146500,-0.04154740
673.4,-0.04124000,-0.04124000
677.5,-0.04113000,-0.04105790
681.6,-0.04078000,-0.04068730
685.0,-0.04016000,-0.04008790
689.0,-0.03928000,-0.03928000
692.9,-0.03759000,-0.03774450
696.8,-0.03593000,-0.03633170
700.4,-0.03397000,-0.03474250
704.2,-0.03091000,-0.03225930
708.3,-0.02685000,-0.02911600
711.8,-0.02214000,-0.02535360
715.7,-0.01548000,-0.02001200
719.7,-0.00893500,-0.01525920
723.3,-0.00270000,-0.01089880
726.5,0.00087000,-0.00904890
731.0,0.00096000,-0.01109100
734.3,-0.00501000,-0.01829700
